bci_index,word,english_glosses,pos,bliss_url,arasaac_url,mulberry_url,sclera_url,noun_project_url,tawasol_url,current_aac_url
8555,e_,E_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8555,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/e.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/E.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20e.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/meals.png,
8556,f_,F_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8556,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/f.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/F.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20f.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Hair%20(F).png,
8557,g_,G_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8557,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/g.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/G.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20g.png,,,
8558,h_,H_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8558,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/h.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/H.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20h.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/First%20(F)2%20bw.png,
8559,i_,I_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8559,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I.png.varianted-skin.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/I.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/i.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/40-I%20F.png,
8560,j_,J_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8560,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/j.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/J.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20j.png,,,
8561,k_,K_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8561,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/k.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/K.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20k.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Friends%20Qatari%20(F).png,
8562,l_,L_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8562,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/l.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/L.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20l.png,,,
8563,m_,M_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8563,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/m.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/M.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20m.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Catch%20(M).png,
8564,n_,N_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8564,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/n.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/N.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20n.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/231-Assalamu%20Alaikum%20F%20bw.png,
8565,o_,O_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8565,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/o.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/O.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20o.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/blow%20nose.jpg,
8566,p_,P_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8566,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/p.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/P.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20p.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/230-Assalamu%20Alaikum%20M%20bw.png,
8567,q_,Q_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8567,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/q.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/Q.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20q.png,,,
8568,r_,R_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8568,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/r.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/R.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20r.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Mrs%20(1)_2.jpg,
8569,s_,S_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8569,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/s.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/S.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20s.png,,,
8570,t_,T_(uppercase),WHITE,https://www.blissymbolics.net/refnumber/8570,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/t.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/T.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20t.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/40-I%20F.png,
